stt,bai,chu_de,url,sheet
80,1.80,Ellenbogenoperation,https://deutsch-vorbereitung.com/en/uebung-1900.html,Horen
81,1.81,Nächste Stunde,https://deutsch-vorbereitung.com/en/uebung-1899.html,Horen
82,1.82,Schulz & Sohn,https://deutsch-vorbereitung.com/en/uebung-1898.html,Horen
83,1.83,Fahrgäste zum Flughafen,https://deutsch-vorbereitung.com/en/uebung-1897.html,Horen
84,1.84,Kunden-Hotline von Internet NOVA,https://deutsch-vorbereitung.com/en/uebung-1896.html,Horen
85,1.85,Autowerkstatt Müller,https://deutsch-vorbereitung.com/en/uebung-1895.html,Horen
86,1.86,DTZ Prüfung,https://deutsch-vorbereitung.com/en/uebung-1859.html,Horen
87,1.87,Autowerkstatt,https://deutsch-vorbereitung.com/en/uebung-1858.html,Horen
88,1.88,DTZ Prüfungsbüro,https://deutsch-vorbereitung.com/en/uebung-1844.html,Horen
89,1.89,Online-Banking-Zugriff,https://deutsch-vorbereitung.com/en/uebung-1840.html,Horen
90,1.90,Tierarztpraxis Müller,https://deutsch-vorbereitung.com/en/uebung-1838.html,Horen
91,1.91,Fahrradgeschäft am Marktplatz,https://deutsch-vorbereitung.com/en/uebung-1837.html,Horen
92,1.92,Reisebüro am Bahnhof,https://deutsch-vorbereitung.com/en/uebung-1836.html,Horen
93,1.93,Veranstaltungszentrum,https://deutsch-vorbereitung.com/en/uebung-1835.html,Horen
94,1.94,Fitnessstudio - eine kleine Party zum Jubiläum,https://deutsch-vorbereitung.com/en/uebung-1834.html,Horen
95,1.95,Buchhandlung am Markt,https://deutsch-vorbereitung.com/en/uebung-1833.html,Horen
96,1.96,Büro von Frau Müller,https://deutsch-vorbereitung.com/en/uebung-1830.html,Horen
97,1.97,Realschule,https://deutsch-vorbereitung.com/en/uebung-1829.html,Horen
98,1.98,Verkehrshinweis,https://deutsch-vorbereitung.com/en/uebung-1671.html,Horen
99,1.99,Gesundheitszentrum,https://deutsch-vorbereitung.com/en/uebung-1654.html,Horen
100,1.100,Reisende nach Frankfurt,https://deutsch-vorbereitung.com/en/uebung-1652.html,Horen
101,1.101,Die Zugverbindung,https://deutsch-vorbereitung.com/en/uebung-1032.html,Horen
102,1.102,Parken,https://deutsch-vorbereitung.com/en/uebung-1031.html,Horen
103,1.103,Der Buslinie 62,https://deutsch-vorbereitung.com/en/uebung-1030.html,Horen
104,1.104,Reparaturarbeiten,https://deutsch-vorbereitung.com/en/uebung-1029.html,Horen
105,1.105,Das Betriebsfest,https://deutsch-vorbereitung.com/en/uebung-1028.html,Horen
106,1.106,Museum der Stadt,https://deutsch-vorbereitung.com/en/uebung-1027.html,Horen
107,1.107,In Geschäft,https://deutsch-vorbereitung.com/en/uebung-1026.html,Horen
108,1.108,Die Buslinie 45,https://deutsch-vorbereitung.com/en/uebung-1025.html,Horen
109,1.109,Sternenlicht,https://deutsch-vorbereitung.com/en/uebung-1024.html,Horen
110,1.110,S-Bahn-Linie 3,https://deutsch-vorbereitung.com/en/uebung-1023.html,Horen
111,1.111,Alternative empfohlen,https://deutsch-vorbereitung.com/en/uebung-1022.html,Horen
112,1.112,Hotline,https://deutsch-vorbereitung.com/en/uebung-955.html,Horen
113,1.113,Kundenhotline,https://deutsch-vorbereitung.com/en/uebung-952.html,Horen
114,1.114,Nachrichten,https://deutsch-vorbereitung.com/en/uebung-946.html,Horen
115,1.115,Welche Plattform,https://deutsch-vorbereitung.com/en/uebung-940.html,Horen
116,1.116,Frau Nasser,https://deutsch-vorbereitung.com/en/uebung-923.html,Horen
117,1.117,Rückruf vom Malerbetrieb,https://deutsch-vorbereitung.com/en/uebung-921.html,Horen
118,1.118,A 6 München–Stuttgart,https://deutsch-vorbereitung.com/en/uebung-706.html,Horen
119,1.119,Abend im Radio,https://deutsch-vorbereitung.com/en/uebung-705.html,Horen
120,1.120,Der orthopädischen Praxis Dr. Ulrich,https://deutsch-vorbereitung.com/en/uebung-701.html,Horen
121,1.121,Eine Verspätung von 30 Minuten,https://deutsch-vorbereitung.com/en/uebung-698.html,Horen
122,1.122,1 plus 1,https://deutsch-vorbereitung.com/en/uebung-697.html,Horen
123,1.123,Versicherung,https://deutsch-vorbereitung.com/en/uebung-688.html,Horen
124,1.124,Lutz fragt,https://deutsch-vorbereitung.com/en/uebung-470.html,Horen
125,1.125,Tipps für Patienten,https://deutsch-vorbereitung.com/en/uebung-362.html,Horen
126,1.126,Wetter nächste Woche,https://deutsch-vorbereitung.com/en/uebung-359.html,Horen
127,1.127,Heute Nachmittag zum Hauptbahnhof,https://deutsch-vorbereitung.com/en/uebung-312.html,Horen
128,1.128,Versicherung kündigen,https://deutsch-vorbereitung.com/en/uebung-298.html,Horen
129,1.129,Silvester feiert,https://deutsch-vorbereitung.com/en/uebung-297.html,Horen
130,1.130,Emma - Elektrik,https://deutsch-vorbereitung.com/en/uebung-291.html,Horen
131,1.131,Angebot einer Wohnung,https://deutsch-vorbereitung.com/en/uebung-290.html,Horen
132,1.132,Deutschkurs anmelden,https://deutsch-vorbereitung.com/en/uebung-289.html,Horen
133,1.133,Welche Nummer,https://deutsch-vorbereitung.com/en/uebung-288.html,Horen
134,1.134,Frau Schönes Abo,https://deutsch-vorbereitung.com/en/uebung-112.html,Horen
135,1.135,Beruf,https://deutsch-vorbereitung.com/en/uebung-104.html,Horen
136,1.136,Café del Mundo,https://deutsch-vorbereitung.com/en/uebung-101.html,Horen
137,1.137,Einkaufscenter,https://deutsch-vorbereitung.com/en/uebung-100.html,Horen
138,1.138,Gefundene Sporttasche,https://deutsch-vorbereitung.com/en/uebung-99.html,Horen
139,1.139,Musikfestival,https://deutsch-vorbereitung.com/en/uebung-98.html,Horen
140,1.140,Informationen zur Weiterfahrt aufgrund technischer Probleme,https://deutsch-vorbereitung.com/en/uebung-85.html,Horen
141,1.141,Straßenbahnen sind während der Sommerferien,https://deutsch-vorbereitung.com/en/uebung-84.html,Horen
142,1.142,Benachrichtigung zur Terminänderung im Friseursalon,https://deutsch-vorbereitung.com/en/uebung-81.html,Horen
143,1.143,Abholung eines neuen Ausweises im Bürgerbüro,https://deutsch-vorbereitung.com/en/uebung-80.html,Horen
144,1.144,Wichtiges Anliegen zur Kfz-Versicherung,https://deutsch-vorbereitung.com/en/uebung-79.html,Horen
145,1.145,NRW Radio,https://deutsch-vorbereitung.com/en/uebung-73.html,Horen
146,1.146,RuheSon,https://deutsch-vorbereitung.com/en/uebung-71.html,Horen
147,1.147,Wer ruft Burak an,https://deutsch-vorbereitung.com/en/uebung-68.html,Horen
1,2.1,Die Werte,https://deutsch-vorbereitung.com/en/uebung-14232.html,Horen
2,2.2,Ankündigung,https://deutsch-vorbereitung.com/en/uebung-14231.html,Horen
3,2.3,Informationen vom Krankenhaus,https://deutsch-vorbereitung.com/en/uebung-4123.html,Horen
4,2.4,Warnung der Feuerwehr,https://deutsch-vorbereitung.com/en/uebung-4122.html,Horen
5,2.5,Gesundheitshinweis von Ärzten,https://deutsch-vorbereitung.com/en/uebung-4121.html,Horen
6,2.6,Warnung der Polizei (Polizeidurchsage),https://deutsch-vorbereitung.com/en/uebung-4120.html,Horen
7,2.7,Straßenreinigung im Winter,https://deutsch-vorbereitung.com/en/uebung-4119.html,Horen
8,2.8,Renovierung des Schwimmbads,https://deutsch-vorbereitung.com/en/uebung-4118.html,Horen
9,2.9,Müllabholung in Wohngebieten,https://deutsch-vorbereitung.com/en/uebung-4117.html,Horen
10,2.10,Weihnachtsmarkt in der Innenstadt,https://deutsch-vorbereitung.com/en/uebung-4116.html,Horen
11,2.11,Fahrradmiete in der Stadt,https://deutsch-vorbereitung.com/en/uebung-4115.html,Horen
12,2.12,Wochenmarkt auf dem Marktplatz,https://deutsch-vorbereitung.com/en/uebung-4114.html,Horen
13,2.13,Kinoabend im Kulturzentrum,https://deutsch-vorbereitung.com/en/uebung-4113.html,Horen
14,2.14,Schwimmkurs für Erwachsene,https://deutsch-vorbereitung.com/en/uebung-4112.html,Horen
15,2.15,Änderung der Zugverbindung,https://deutsch-vorbereitung.com/en/uebung-4111.html,Horen
16,2.16,Buchvorstellung in der Bibliothek,https://deutsch-vorbereitung.com/en/uebung-4110.html,Horen
17,2.17,Konzertankündigung,https://deutsch-vorbereitung.com/en/uebung-4109.html,Horen
18,2.18,Öffnungszeiten des Schwimmbads,https://deutsch-vorbereitung.com/en/uebung-4108.html,Horen
19,2.19,Kulturveranstaltung,https://deutsch-vorbereitung.com/en/uebung-4107.html,Horen
20,2.20,Schneefälle,https://deutsch-vorbereitung.com/en/uebung-4106.html,Horen
21,2.21,Die Supermarktkette „Frisch & Günstig“,https://deutsch-vorbereitung.com/en/uebung-4105.html,Horen
22,2.22,Das Schwimmbad „Aqua Relax“,https://deutsch-vorbereitung.com/en/uebung-4104.html,Horen
23,2.23,Durchsage am Bahnhof,https://deutsch-vorbereitung.com/en/uebung-4103.html,Horen
24,2.24,Sendung,https://deutsch-vorbereitung.com/en/uebung-4102.html,Horen
25,2.25,Radio Live Durchsage,https://deutsch-vorbereitung.com/en/uebung-4101.html,Horen
26,2.26,City Mall,https://deutsch-vorbereitung.com/en/uebung-4100.html,Horen
27,2.27,Sonnenparadies,https://deutsch-vorbereitung.com/en/uebung-4099.html,Horen
28,2.28,Bibliothek,https://deutsch-vorbereitung.com/en/uebung-4098.html,Horen
29,2.29,Regionalzug nach Graz,https://deutsch-vorbereitung.com/en/uebung-4097.html,Horen
30,2.30,Zug nach Innsbruck,https://deutsch-vorbereitung.com/en/uebung-4096.html,Horen
31,2.31,Schwimmturnier,https://deutsch-vorbereitung.com/en/uebung-4095.html,Horen
32,2.32,Flug nach Frankfurt,https://deutsch-vorbereitung.com/en/uebung-4094.html,Horen
33,2.33,Sonnenschein,https://deutsch-vorbereitung.com/en/uebung-4093.html,Horen
34,2.34,Waldbrandgefahr,https://deutsch-vorbereitung.com/en/uebung-4092.html,Horen
35,2.35,Wochenmarkt,https://deutsch-vorbereitung.com/en/uebung-4091.html,Horen
36,2.36,Aqua Relax,https://deutsch-vorbereitung.com/en/uebung-4090.html,Horen
37,2.37,Rathausplatz,https://deutsch-vorbereitung.com/en/uebung-4089.html,Horen
38,2.38,Das Museum „Kunst & Geschichte“,https://deutsch-vorbereitung.com/en/uebung-4088.html,Horen
39,2.39,Einkauf 24,https://deutsch-vorbereitung.com/en/uebung-4087.html,Horen
40,2.40,Verkehrsprobleme,https://deutsch-vorbereitung.com/en/uebung-4086.html,Horen
41,2.41,Kunstausstellung,https://deutsch-vorbereitung.com/en/uebung-3958.html,Horen
42,2.42,Veranstaltungshinweise,https://deutsch-vorbereitung.com/en/uebung-3946.html,Horen
43,2.43,Wettervorhersage für Westdeutschland,https://deutsch-vorbereitung.com/en/uebung-3883.html,Horen
44,2.44,Änderung im Programm,https://deutsch-vorbereitung.com/en/uebung-3882.html,Horen
45,2.45,Programmvorschau,https://deutsch-vorbereitung.com/en/uebung-2004.html,Horen
46,2.46,Die Wettervorhersage,https://deutsch-vorbereitung.com/en/uebung-2003.html,Horen
47,2.47,Verkehrsnachrichten,https://deutsch-vorbereitung.com/en/uebung-2002.html,Horen
48,2.48,Nachrichtenüberblick,https://deutsch-vorbereitung.com/en/uebung-2001.html,Horen
49,2.49,Bauarbeiten Kamm,https://deutsch-vorbereitung.com/en/uebung-2000.html,Horen
50,2.50,Kamm,https://deutsch-vorbereitung.com/en/uebung-1968.html,Horen
51,2.51,NRW,https://deutsch-vorbereitung.com/en/uebung-1967.html,Horen
52,2.52,Schlafpil,https://deutsch-vorbereitung.com/en/uebung-1965.html,Horen
53,2.53,NRW1-Veranstaltungstipp,https://deutsch-vorbereitung.com/en/uebung-1964.html,Horen
54,2.54,Lebensmittelproduktion,https://deutsch-vorbereitung.com/en/uebung-1963.html,Horen
55,2.55,Podcast,https://deutsch-vorbereitung.com/en/uebung-1962.html,Horen
56,2.56,Gesunde Ernährung,https://deutsch-vorbereitung.com/en/uebung-1961.html,Horen
57,2.57,Umweltverschmutzung,https://deutsch-vorbereitung.com/en/uebung-1960.html,Horen
58,2.58,Reise nach Südamerika,https://deutsch-vorbereitung.com/en/uebung-1959.html,Horen
59,2.59,Kfz-Versicherungen,https://deutsch-vorbereitung.com/en/uebung-1957.html,Horen
60,2.60,Person in Lebensgefahr,https://deutsch-vorbereitung.com/en/uebung-1956.html,Horen
61,2.61,Lux FM,https://deutsch-vorbereitung.com/en/uebung-1955.html,Horen
62,2.62,Stau,https://deutsch-vorbereitung.com/en/uebung-1954.html,Horen
63,2.63,Wetter im Osten,https://deutsch-vorbereitung.com/en/uebung-1953.html,Horen
64,2.64,Aktuelles,https://deutsch-vorbereitung.com/en/uebung-1952.html,Horen
65,2.65,Nachricht von der Polizei,https://deutsch-vorbereitung.com/en/uebung-1951.html,Horen
66,2.66,Der Krimi,https://deutsch-vorbereitung.com/en/uebung-1950.html,Horen
67,2.67,Recht und Finanzen,https://deutsch-vorbereitung.com/en/uebung-1949.html,Horen
68,2.68,Wettervorhersage für Dortmund,https://deutsch-vorbereitung.com/en/uebung-1948.html,Horen
69,2.69,Außenanlagen,https://deutsch-vorbereitung.com/en/uebung-1947.html,Horen
70,2.70,Vermisst,https://deutsch-vorbereitung.com/en/uebung-1946.html,Horen
71,2.71,Wochenende nach Frankreich,https://deutsch-vorbereitung.com/en/uebung-1945.html,Horen
72,2.72,Verkehrsinformationen,https://deutsch-vorbereitung.com/en/uebung-1944.html,Horen
73,2.73,Sendeprogramm für die kommende Woche,https://deutsch-vorbereitung.com/en/uebung-1943.html,Horen
74,2.74,Prognose für das Wetter,https://deutsch-vorbereitung.com/en/uebung-1942.html,Horen
75,2.75,Sendung,https://deutsch-vorbereitung.com/en/uebung-1941.html,Horen
76,2.76,Die Autobahn A7,https://deutsch-vorbereitung.com/en/uebung-1940.html,Horen
77,2.77,Eine wichtige Mitteilung,https://deutsch-vorbereitung.com/en/uebung-1939.html,Horen
78,2.78,Eine dringende Ankündigung,https://deutsch-vorbereitung.com/en/uebung-1938.html,Horen
79,2.79,Ernährung,https://deutsch-vorbereitung.com/en/uebung-1937.html,Horen
80,2.80,Wetterlage,https://deutsch-vorbereitung.com/en/uebung-1936.html,Horen
81,2.81,Neuigkeiten,https://deutsch-vorbereitung.com/en/uebung-1935.html,Horen
82,2.82,Wetterbericht,https://deutsch-vorbereitung.com/en/uebung-1809.html,Horen
83,2.83,Radio Verkehrschaos,https://deutsch-vorbereitung.com/en/uebung-1656.html,Horen
84,2.84,Und nun zum Wetter,https://deutsch-vorbereitung.com/en/uebung-1404.html,Horen
85,2.85,Verkehrsinformationen,https://deutsch-vorbereitung.com/en/uebung-1403.html,Horen
86,2.86,NRW-Tour,https://deutsch-vorbereitung.com/en/uebung-1402.html,Horen
87,2.87,Mitteilung von der Deutschen Bahn,https://deutsch-vorbereitung.com/en/uebung-1401.html,Horen
88,2.88,Liebe Zuhörer,https://deutsch-vorbereitung.com/en/uebung-1400.html,Horen
89,2.89,Die Buslinie 45,https://deutsch-vorbereitung.com/en/uebung-1066.html,Horen
90,2.90,Die Straße vor dem Bahnhof,https://deutsch-vorbereitung.com/en/uebung-1065.html,Horen
91,2.91,Im Buchladen,https://deutsch-vorbereitung.com/en/uebung-1064.html,Horen
92,2.92,Kartenzahlungen,https://deutsch-vorbereitung.com/en/uebung-1063.html,Horen
93,2.93,Die Toiletten,https://deutsch-vorbereitung.com/en/uebung-1062.html,Horen
94,2.94,Blumensträuße,https://deutsch-vorbereitung.com/en/uebung-1061.html,Horen
95,2.95,Klimaanlage,https://deutsch-vorbereitung.com/en/uebung-1060.html,Horen
96,2.96,Fahrstuhl,https://deutsch-vorbereitung.com/en/uebung-1059.html,Horen
97,2.97,Sonnenschein,https://deutsch-vorbereitung.com/en/uebung-1058.html,Horen
98,2.98,Theaterliebhaber,https://deutsch-vorbereitung.com/en/uebung-1057.html,Horen
99,2.99,Fitnessstudio 2,https://deutsch-vorbereitung.com/en/uebung-1056.html,Horen
100,2.100,Zahlungen über die Online-Plattform,https://deutsch-vorbereitung.com/en/uebung-1055.html,Horen
101,2.101,Im Stadtpark,https://deutsch-vorbereitung.com/en/uebung-1054.html,Horen
102,2.102,In unserem Restaurant,https://deutsch-vorbereitung.com/en/uebung-1053.html,Horen
103,2.103,Alle Kinobesucher,https://deutsch-vorbereitung.com/en/uebung-1052.html,Horen
104,2.104,Stadtpark,https://deutsch-vorbereitung.com/en/uebung-1051.html,Horen
105,2.105,Am Flughafen,https://deutsch-vorbereitung.com/en/uebung-1049.html,Horen
106,2.106,Wetterbedingungen,https://deutsch-vorbereitung.com/en/uebung-1048.html,Horen
107,2.107,Umleitungen,https://deutsch-vorbereitung.com/en/uebung-1047.html,Horen
108,2.108,Sortiment,https://deutsch-vorbereitung.com/en/uebung-1046.html,Horen
109,2.109,Mitteilung,https://deutsch-vorbereitung.com/en/uebung-1045.html,Horen
110,2.110,Kunstmuseum,https://deutsch-vorbereitung.com/en/uebung-1044.html,Horen
111,2.111,Fitnessstudio,https://deutsch-vorbereitung.com/en/uebung-1043.html,Horen
112,2.112,Wetterbericht,https://deutsch-vorbereitung.com/en/uebung-959.html,Horen
113,2.113,Sommer-Festivals in Karlsruhe,https://deutsch-vorbereitung.com/en/uebung-958.html,Horen
114,2.114,Expresszug nach Berlin,https://deutsch-vorbereitung.com/en/uebung-957.html,Horen
115,2.115,Die Anzeigetafeln,https://deutsch-vorbereitung.com/en/uebung-954.html,Horen
116,2.116,Hund ist krank,https://deutsch-vorbereitung.com/en/uebung-922.html,Horen
117,2.117,Gespräch mit Maxine,https://deutsch-vorbereitung.com/en/uebung-920.html,Horen
118,2.118,Verkehrsunfalls,https://deutsch-vorbereitung.com/en/uebung-704.html,Horen
119,2.119,Die Wettervorhersage,https://deutsch-vorbereitung.com/en/uebung-703.html,Horen
120,2.120,Externe Partner,https://deutsch-vorbereitung.com/en/uebung-471.html,Horen
121,2.121,Probleme auf der S1,https://deutsch-vorbereitung.com/en/uebung-361.html,Horen
122,2.122,Abend im Radio WAVE 107,https://deutsch-vorbereitung.com/en/uebung-357.html,Horen
123,2.123,Sie hören Telefonansagen und Durchsagen,https://deutsch-vorbereitung.com/en/uebung-327.html,Horen
124,2.124,Von welchem Gleis,https://deutsch-vorbereitung.com/en/uebung-314.html,Horen
125,2.125,Wie ist das Wetter?,https://deutsch-vorbereitung.com/en/uebung-311.html,Horen
126,2.126,Die Verkehrsmeldungen,https://deutsch-vorbereitung.com/en/uebung-296.html,Horen
127,2.127,Das Wetter,https://deutsch-vorbereitung.com/en/uebung-295.html,Horen
128,2.128,Was hören Sie?,https://deutsch-vorbereitung.com/en/uebung-293.html,Horen
129,2.129,Würzburg,https://deutsch-vorbereitung.com/en/uebung-103.html,Horen
130,2.130,Hamburg-Altona,https://deutsch-vorbereitung.com/en/uebung-96.html,Horen
131,2.131,SWR3 mit den Veranstaltungstipps,https://deutsch-vorbereitung.com/en/uebung-86.html,Horen
132,2.132,Radiosendung,https://deutsch-vorbereitung.com/en/uebung-83.html,Horen
133,2.133,Tropfen „Berliner“,https://deutsch-vorbereitung.com/en/uebung-82.html,Horen
134,2.134,Zug nach München,https://deutsch-vorbereitung.com/en/uebung-78.html,Horen
135,2.135,Für die Kleinen wird am Sonntag,https://deutsch-vorbereitung.com/en/uebung-70.html,Horen
136,2.136,Ostbahnhof,https://deutsch-vorbereitung.com/en/uebung-69.html,Horen
137,2.137,Rosengarten,https://deutsch-vorbereitung.com/en/uebung-67.html,Horen
1,3.1,Gepäckservice,https://deutsch-vorbereitung.com/en/uebung-14230.html,Horen
2,3.2,Fitnessvertrag,https://deutsch-vorbereitung.com/en/uebung-14229.html,Horen
3,3.3,Handy oder Vertrag,https://deutsch-vorbereitung.com/en/uebung-14228.html,Horen
4,3.4,Baustellen und Kita,https://deutsch-vorbereitung.com/en/uebung-14227.html,Horen
5,3.5,Autowerkstatt,https://deutsch-vorbereitung.com/en/uebung-4176.html,Horen
6,3.6,Rückgabe eines Produkts,https://deutsch-vorbereitung.com/en/uebung-4175.html,Horen
