# schema_version: 2026-05-18_v1
# columns: wort, wortart, artikel, mistake_count, last_mistake_date, related_rule, related_mistakes_log_entries, status
# wortart enum: Substantiv | Verb | Adjektiv | Adverb | Pronomen | Präposition | Konjunktion | Numerale | Interjektion
# artikel enum: der | die | das | (rỗng nếu không phải Substantiv)
# status enum: active | mastered | dropped
# Append-only. Update mistake_count + last_mistake_date + status.
wort,wortart,artikel,mistake_count,last_mistake_date,related_rule,related_mistakes_log_entries,status
BH,Substantiv,der,1,2026-05-24,Lesen 1.1 — viết tắt của Büstenhalter,,active
Bettwäsche,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Bett + Wäsche,,active
Heimtextilien,Substantiv,die,1,2026-05-24,Lesen 1.1 — Plurale tantum,,active
Bettbezug,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Bett + Bezug,,active
Tagesdecke,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Tag + Decke,,active
Kissenhülle,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Kissen + Hülle,,active
Designermode,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Designer + Mode,,active
In-Boutique,Substantiv,die,1,2026-05-24,Lesen 1.1 — Anglizismus / Gallizismus,,active
Markenmode,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Marke + Mode,,active
Parfümerie,Substantiv,die,1,2026-05-24,Lesen 1.1 — cửa hàng nước hoa,,active
Duft,Substantiv,der,1,2026-05-24,Lesen 1.1 — mùi hương; plural: Düfte,,active
Schreibware,Substantiv,die,1,2026-05-24,Lesen 1.1 — thường dùng plural Schreibwaren,,active
Stift,Substantiv,der,1,2026-05-24,Lesen 1.1 — bút (chung),,active
Notizbuch,Substantiv,das,1,2026-05-24,Lesen 1.1 — compound: Notiz + Buch,,active
Uhr,Substantiv,die,1,2026-05-24,Lesen 1.1 — vừa là đồng hồ vừa là giờ,,active
Schmuck,Substantiv,der,1,2026-05-24,Lesen 1.1 — uncountable,,active
Armbanduhr,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Armband + Uhr,,active
Kette,Substantiv,die,1,2026-05-24,Lesen 1.1 — đa nghĩa: dây chuyền / chuỗi / xích,,active
Ohrring,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Ohr + Ring,,active
Süßware,Substantiv,die,1,2026-05-24,Lesen 1.1 — thường dùng plural Süßwaren,,active
Praline,Substantiv,die,1,2026-05-24,Lesen 1.1 — sô-cô-la viên có nhân,,active
Regenschirm,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Regen + Schirm,,active
faltbar,Adjektiv,,1,2026-05-24,Lesen 1.1 — từ động từ falten + suffix -bar,,active
stabil,Adjektiv,,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Modell,Substantiv,das,1,2026-05-24,Lesen 1.1 — đa nghĩa: mẫu / kiểu / mô hình,,active
Schnäppchen,Substantiv,das,1,2026-05-24,Lesen 1.1 — diminutiv -chen,,active
Feier,Substantiv,die,1,2026-05-24,Lesen 1.1 — phân biệt với động từ feiern,,active
Sonderangebot,Substantiv,das,1,2026-05-24,Lesen 1.1 — compound: Sonder + Angebot,,active
Restposten,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Rest + Posten,,active
reduziert,Adjektiv,,1,2026-05-24,Lesen 1.1 — Partizip II của reduzieren dùng làm Adjektiv,,active
Ware,Substantiv,die,1,2026-05-24,Lesen 1.1 — hàng hóa (chung),,active
Deli-Feinkost,Substantiv,die,1,2026-05-24,Lesen 1.1 — compound: Deli (Anglizismus) + Feinkost,,active
Käse,Substantiv,der,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Wurst,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Olive,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Spezialität,Substantiv,die,1,2026-05-24,Lesen 1.1 — món đặc sản,,active
Tabakware,Substantiv,die,1,2026-05-24,Lesen 1.1 — thường dùng plural Tabakwaren,,active
Zigarette,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Zigarre,Substantiv,die,1,2026-05-24,Lesen 1.1 — xì gà (phân biệt với Zigarette),,active
E-Zigarette,Substantiv,die,1,2026-05-24,Lesen 1.1 — thuốc lá điện tử,,active
Dekorationsartikel,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Dekoration + Artikel,,active
Kerze,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Vase,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Bilderrahmen,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Bild + Rahmen,,active
Partybedarf,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Party + Bedarf,,active
Luftballon,Substantiv,der,1,2026-05-24,Lesen 1.1 — compound: Luft + Ballon,,active
Girlande,Substantiv,die,1,2026-05-24,Lesen 1.1 — dải trang trí,,active
Serviette,Substantiv,die,1,2026-05-24,Lesen 1.1 Center Solaris,,active
Partygeschirr,Substantiv,das,1,2026-05-24,Lesen 1.1 — compound: Party + Geschirr,,active
Digitalisierung,Substantiv,die,0,2026-05-29,Hören 4.29 — số hóa,,active
erleichtern,Verb,,0,2026-05-29,Hören 4.29 — làm dễ dàng hơn,,active
Zugang,Substantiv,der,0,2026-05-29,Hören 4.29 — quyền truy cập / lối vào,,active
investieren,Verb,,0,2026-05-29,Hören 4.29 — đầu tư (in etw. Akk.),,active
Bildungsungleichheit,Substantiv,die,0,2026-05-29,Hören 4.29 — bất bình đẳng giáo dục,,active
Kluft,Substantiv,die,0,2026-05-29,Hören 4.29 — khoảng cách (digitale Kluft),,active
skeptisch,Adjektiv,,0,2026-05-29,Hören 4.29 — hoài nghi (skeptisch gegenüber etw.),,active
unersetzlich,Adjektiv,,0,2026-05-29,Hören 4.29 — không thể thay thế — MISTAKES_LOG 2026-05-29,,active
Ergänzung,Substantiv,die,0,2026-05-29,Hören 4.29 — sự bổ sung (als Ergänzung betrachten),,active
Ersatz,Substantiv,der,0,2026-05-29,Hören 4.29 — sự thay thế (nicht als Ersatz),,active
Zeitersparnis,Substantiv,die,0,2026-05-29,Hören 4.30 — tiết kiệm thời gian,,active
flexibel,Adjektiv,,0,2026-05-29,Hören 4.30 — linh hoạt (flexibel arbeiten),,active
Ablenkung,Substantiv,die,0,2026-05-29,Hören 4.30 — sự phân tâm,,active
informell,Adjektiv,,0,2026-05-29,Hören 4.30 — không chính thức (≠ formell),,active
vermissen,Verb,,0,2026-05-29,Hören 4.30 — nhớ một thứ không còn,,active
Versuchung,Substantiv,die,0,2026-05-29,Hören 4.30 — cám dỗ,,active
entspannen,Verb,,0,2026-05-29,Hören 4.30 — thư giãn (sich entspannen),,active
Trennung,Substantiv,die,0,2026-05-29,Hören 4.30 — sự phân chia (klare Trennung),,active
Automatisierung,Substantiv,die,0,2026-05-29,Hören 4.31 — tự động hóa,,active
Herausforderung,Substantiv,die,0,2026-05-29,Hören 4.31 — thách thức,,active
psychisch,Adjektiv,,0,2026-05-29,Hören 4.31 — thuộc tâm lý (psychische Gesundheit),,active
Wohlbefinden,Substantiv,das,0,2026-05-29,Hören 4.31 — sự an lành / phúc lợi,,active
fördern,Verb,,0,2026-05-29,Hören 4.31 — thúc đẩy / hỗ trợ,,active
Weiterbildung,Substantiv,die,0,2026-05-29,Hören 4.31 — đào tạo nâng cao,,active
Fähigkeit,Substantiv,die,0,2026-05-29,Hören 4.31 — kỹ năng / khả năng,,active
Maßnahme,Substantiv,die,0,2026-05-29,Hören 4.31 — biện pháp,,active
Verpflichtung,Substantiv,die,0,2026-05-29,Hören 4.31 — nghĩa vụ / cam kết,,active
Zusammenhalt,Substantiv,der,0,2026-05-29,Hören 4.31 — sự gắn kết xã hội,,active
Unsicherheit,Substantiv,die,0,2026-05-29,Hören 4.31 — sự bất ổn / không chắc chắn,,active
